,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,norm,name
162,poly,0.03456225895148572,50.0,0.01,0.01,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
163,poly,0.027417355759721488,100.0,0.3,0.3,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
164,poly,-0.01824309499867673,100.0,1.0,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
165,poly,-0.09490549306311387,50.0,0.5,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
166,poly,0.03476669109027639,1.0,0.001,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
167,poly,-0.036228074068464934,1.0,0.5,0.1,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
168,poly,0.03474859834680119,100.0,0.001,1.0,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
169,poly,-0.032715584800519455,100.0,0.1,0.1,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
170,poly,0.03474859834680119,50.0,0.001,1.0,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
171,poly,0.03274629346807918,1.0,0.01,0.001,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
172,poly,-0.032715584800519455,10.0,0.1,1.0,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
173,poly,-0.09492238425382447,50.0,0.001,0.001,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
174,poly,0.2261765002242825,1.0,1.0,1.0,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
175,poly,0.012547499726271833,1.0,0.1,1.0,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
176,poly,0.0347440912511262,10.0,0.01,1.0,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
177,poly,-0.09970396391465322,10.0,0.5,0.001,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
178,poly,-0.0433169606800542,10.0,0.3,0.3,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
179,poly,-0.053711219816011936,100.0,0.01,0.01,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
180,poly,-0.052517276460793266,10.0,0.3,1.0,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
181,poly,-0.09427083052037863,50.0,0.5,0.001,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
182,poly,-0.01768768671905376,50.0,1.0,0.3,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
183,poly,-0.05371919132220849,10.0,0.001,0.1,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
184,poly,0.03476669002365422,100.0,0.3,0.001,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
185,poly,0.033326034012842,50.0,0.5,0.5,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
186,poly,-0.04929882868471118,1.0,0.3,0.1,10.0,inf,art.attacks.evasion.ProjectedGradientDescent
187,poly,-0.057303821697689876,10.0,1.0,0.5,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
188,poly,0.03474859847317218,100.0,0.001,0.1,100.0,2.0,art.attacks.evasion.ProjectedGradientDescent
189,poly,-0.09490549450495839,100.0,0.01,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
190,poly,-0.07277278970757738,100.0,0.3,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
191,poly,0.033326299590839735,10.0,0.5,0.001,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
192,poly,0.004404685068746782,1.0,1.0,0.5,10.0,2.0,art.attacks.evasion.ProjectedGradientDescent
193,poly,-0.053711219852152985,100.0,0.01,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
194,poly,0.034516633079713636,100.0,0.1,0.1,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
195,poly,0.17191465739682307,50.0,1.0,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
196,poly,0.032746436071490484,50.0,0.3,0.01,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
197,poly,-0.09490549442960719,1.0,0.01,0.5,100.0,1.0,art.attacks.evasion.ProjectedGradientDescent
198,poly,-0.05105212642643445,1.0,0.01,0.01,100.0,inf,art.attacks.evasion.ProjectedGradientDescent
199,poly,-0.07277288556388091,50.0,0.5,0.3,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent
200,poly,-0.05375153754748899,100.0,0.001,0.001,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
201,poly,-0.09498869217676038,10.0,0.001,0.3,1000.0,1.0,art.attacks.evasion.ProjectedGradientDescent
202,poly,-0.03271558755519641,100.0,0.1,0.1,1.0,inf,art.attacks.evasion.ProjectedGradientDescent
203,poly,0.03332603094688154,100.0,0.5,1.0,10.0,1.0,art.attacks.evasion.ProjectedGradientDescent
204,poly,0.034744091524403366,10.0,0.01,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
205,poly,-0.09414347376100038,1.0,0.1,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent
206,poly,0.0814388823358137,50.0,0.5,0.3,1000.0,inf,art.attacks.evasion.ProjectedGradientDescent
207,poly,-0.05730366750227921,10.0,0.5,0.1,1000.0,2.0,art.attacks.evasion.ProjectedGradientDescent
