,Kernel,Average False Confidence,batch_size,eps,eps_step,max_iter,name
220,rbf,-0.03243088663897407,1,0.1,0.01,100,art.attacks.evasion.ProjectedGradientDescent
221,rbf,-0.06886172433286179,10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
222,rbf,-0.06962210556149515,1,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
223,rbf,-0.03243088663897407,10,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
224,rbf,-0.06128535282282974,1,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
225,rbf,-0.08334384341155596,100,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
226,rbf,-0.10697730880085807,1,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
227,rbf,-0.049034831853140615,10,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
228,rbf,0.2353471284466167,1,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
229,rbf,-0.21670296654627402,100,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
230,rbf,-0.009890811612189632,1,0.1,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
231,rbf,-0.12840136432413202,10,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
232,rbf,-0.109227042833511,10,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
233,rbf,-0.14716365321672162,1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
234,rbf,-0.009890811612189632,1,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
235,rbf,-0.04330780780816608,1,1.0,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
236,rbf,-0.03243088663897407,1,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
237,rbf,-0.08546151803462312,100,1.0,0.1,10,art.attacks.evasion.ProjectedGradientDescent
238,rbf,-0.06921855044660671,100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
239,rbf,-0.06984013791319774,100,0.01,0.01,1,art.attacks.evasion.ProjectedGradientDescent
240,rbf,-0.06601417420840403,10,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
241,rbf,0.05003997135220386,100,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
242,rbf,-0.09832921831739636,1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
243,rbf,-0.1346182775821779,1,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
244,rbf,-0.05800687071171913,100,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
245,rbf,0.19298118990695837,100,0.1,0.1,100,art.attacks.evasion.ProjectedGradientDescent
246,rbf,-0.08296102738526487,100,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
247,rbf,-0.10120616287223513,10,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
248,rbf,-0.06960158842060579,10,0.1,0.1,10,art.attacks.evasion.ProjectedGradientDescent
249,rbf,-0.06241441679781388,100,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
250,rbf,-0.03357093607239951,1,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
251,rbf,-0.06881831546833359,1,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
252,rbf,-0.16666417581857304,10,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
253,rbf,-0.0490891726660871,1,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
254,rbf,-0.170572983463517,10,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
255,rbf,-0.039978554823069244,1,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
256,rbf,-0.071816540913446,100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
257,rbf,-0.04740874255412826,1,1.0,0.1,1,art.attacks.evasion.ProjectedGradientDescent
258,rbf,-0.009890811612189632,10,0.1,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
259,rbf,0.051926090251307365,100,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
260,rbf,-0.04601976318888368,100,0.1,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
261,rbf,-0.06881629666568997,10,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
262,rbf,-0.11066592106876103,10,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
263,rbf,-0.055587762906341355,100,0.01,0.1,10,art.attacks.evasion.ProjectedGradientDescent
264,rbf,0.05210608923956106,1,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
