,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,max_iter,name
240,rbf,-0.43120732212984514,10,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
241,rbf,-0.40961366801119653,100,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
242,rbf,-0.4313869192452262,1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
243,rbf,-0.4313442470221909,1,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
244,rbf,-0.4278568384767567,100,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
245,rbf,-0.40208785529381225,100,0.1,0.1,100,art.attacks.evasion.ProjectedGradientDescent
246,rbf,-0.43373944965244127,100,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
247,rbf,-0.4315516424173562,10,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
248,rbf,-0.4288126412631369,10,0.1,0.1,10,art.attacks.evasion.ProjectedGradientDescent
249,rbf,-0.42898908724156926,100,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
250,rbf,-0.42409362179073157,1,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
251,rbf,-0.43173919703896046,1,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
252,rbf,-0.4366785605659902,10,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
253,rbf,-0.42581911347529167,1,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
254,rbf,-0.43692110743041146,10,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
255,rbf,-0.420103913677444,1,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
256,rbf,-0.42777903563448194,100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
257,rbf,-0.39892981605857436,1,1.0,0.1,1,art.attacks.evasion.ProjectedGradientDescent
258,rbf,-0.4235466357821781,10,0.1,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
259,rbf,-0.4072980930103985,100,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
260,rbf,-0.4224404202215231,100,0.1,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
261,rbf,-0.43173757537194596,10,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
262,rbf,-0.4337037991716935,10,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
263,rbf,-0.43025471619239375,100,0.01,0.1,10,art.attacks.evasion.ProjectedGradientDescent
264,rbf,-0.409156409767489,1,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
265,rbf,-0.41783537515274977,1,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
266,rbf,-0.43119666257905587,10,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
267,rbf,-0.42573727931460104,100,0.01,0.001,1,art.attacks.evasion.ProjectedGradientDescent
268,rbf,-0.4213577844511969,100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
269,rbf,-0.43293060397494765,100,0.001,0.001,100,art.attacks.evasion.ProjectedGradientDescent
270,rbf,-0.43778537983027077,10,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
271,rbf,-0.4269239312184068,100,0.1,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
272,rbf,-0.42881264006608477,100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
273,rbf,-0.42990705117770234,100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
274,rbf,-0.4096137307634602,1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
