,Kernel,Average False Confidence After Retraining,batch_size,eps,eps_step,norm,name,max_iter
135,rbf,0.30911587432593796,50.0,0.1,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
136,rbf,0.03578717627575122,50.0,0.1,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,
137,rbf,0.3165678529395668,10.0,0.3,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
138,rbf,0.44844143432732375,100.0,0.01,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,
139,rbf,0.207716602906719,50.0,0.01,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
140,rbf,0.4287668021087388,10.0,1.0,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,
141,rbf,0.20640525912673402,1.0,0.5,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
142,rbf,0.18216642070469405,10.0,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
143,rbf,0.05088225032040063,1.0,0.5,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
144,rbf,0.33709043330222654,1.0,0.001,0.001,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
145,rbf,0.20771660248642557,100.0,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
146,rbf,0.20772932765275098,100.0,0.001,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
147,rbf,0.24731070673797073,50.0,0.1,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
148,rbf,0.33667949046183954,50.0,0.01,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,
149,rbf,0.2063112826627853,10.0,0.1,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
150,rbf,0.3355760565183329,100.0,0.1,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
151,rbf,0.3320260005619728,50.0,0.3,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
152,rbf,0.2723031815644337,50.0,0.5,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
153,rbf,0.33557786449707894,100.0,0.1,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
154,rbf,0.028137754613131394,1.0,0.1,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,
155,rbf,0.207699359539853,1.0,0.001,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
156,rbf,0.4495813487436758,10.0,1.0,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
157,rbf,0.24731072191013953,1.0,0.3,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
158,rbf,0.19379785751180384,50.0,0.5,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,
159,rbf,0.19733926660926301,10.0,0.1,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
160,rbf,0.20764338210060881,10.0,0.01,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
161,rbf,0.025471998413011832,10.0,0.01,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
162,rbf,0.28331097090193114,50.0,0.01,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
163,rbf,0.3373153954328181,50.0,0.001,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
164,rbf,0.33715803720688703,10.0,0.01,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,
165,rbf,0.33557616527675693,100.0,0.5,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
166,rbf,0.20631128268097823,10.0,0.1,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
167,rbf,0.3090835316121273,50.0,0.1,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
168,rbf,0.30908354228150403,10.0,1.0,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
169,rbf,0.3372676670868131,100.0,0.5,0.001,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
170,rbf,0.13035021241777742,1.0,0.3,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
171,rbf,0.30911746229346515,10.0,0.3,0.001,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
172,rbf,0.2473113010467451,10.0,0.1,0.001,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
173,rbf,0.45129969698836214,100.0,0.01,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
174,rbf,0.31904309316546076,50.0,1.0,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,
175,rbf,0.13035021241777742,10.0,0.3,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
176,rbf,0.02529208756133831,50.0,0.001,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,
177,rbf,0.20689957049992858,10.0,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
178,rbf,0.2076433780430734,1.0,0.01,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
179,rbf,0.025211649988701745,50.0,0.3,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
180,rbf,0.029302068866155655,1.0,0.01,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
181,rbf,0.3091143759734737,50.0,0.1,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,
182,rbf,0.2636164354931348,50.0,1.0,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
183,rbf,0.28669201125707094,1.0,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
184,rbf,0.12370260339714667,1.0,0.5,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,
185,rbf,0.25632866679645366,100.0,1.0,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
186,rbf,0.25359681214099883,100.0,0.5,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
187,rbf,0.20750052253819526,10.0,1.0,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
188,rbf,0.33557618141024226,1.0,0.1,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
189,rbf,0.28596031131809224,1.0,0.01,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
190,rbf,0.44844143432732375,100.0,0.01,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,
191,rbf,0.25632867334519605,1.0,1.0,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
192,rbf,0.33715803794176974,10.0,0.01,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
193,rbf,0.2076433780430734,1.0,0.01,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
194,rbf,0.20773631871917023,50.0,1.0,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
195,rbf,0.02593441340628358,1.0,0.01,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,
196,rbf,0.3355745559192576,50.0,0.1,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
197,rbf,0.3348720909835208,100.0,0.01,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
198,rbf,0.17152485478051657,100.0,1.0,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,10.0
199,rbf,0.20769935856151595,10.0,0.3,0.001,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
200,rbf,0.2866920084159526,10.0,0.3,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
201,rbf,0.33082066488655404,100.0,0.1,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
202,rbf,0.05088225032040063,1.0,0.5,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
203,rbf,0.31887597793681016,50.0,1.0,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
204,rbf,0.1715248582197312,1.0,1.0,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
205,rbf,0.07962376884077692,1.0,0.5,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
206,rbf,0.33715801103490184,50.0,1.0,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
207,rbf,0.3373153944067046,100.0,0.1,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
208,rbf,0.3320259998360862,1.0,0.3,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,100.0
209,rbf,0.4514682837474462,50.0,0.001,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,
210,rbf,0.33082069689512283,1.0,0.1,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,
211,rbf,0.45129969698836214,1.0,0.01,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
212,rbf,0.2063112826627853,10.0,0.1,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
213,rbf,0.3372676651314061,100.0,0.001,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
214,rbf,0.02559483474598458,100.0,0.001,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
215,rbf,0.056947693216225746,50.0,0.3,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
216,rbf,0.025211646993501723,100.0,0.001,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,
217,rbf,0.2841535958864007,10.0,1.0,0.1,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
218,rbf,0.2784407250607549,100.0,0.3,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
219,rbf,0.3284233957662758,10.0,0.5,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,
220,rbf,0.19733926660926301,50.0,0.1,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
221,rbf,0.05088225032040063,100.0,0.5,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
222,rbf,0.4512996927373278,10.0,0.01,0.5,1.0,art.attacks.evasion.ProjectedGradientDescent,
223,rbf,0.28669201131570116,100.0,0.01,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
224,rbf,0.27634429262235716,50.0,0.5,0.1,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
225,rbf,0.20772932757631907,10.0,0.001,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,1.0
226,rbf,0.1973392663864385,50.0,1.0,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
227,rbf,0.4123399849240189,100.0,0.1,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,
228,rbf,0.28687170311163984,50.0,0.001,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
229,rbf,0.24017992890888248,1.0,0.3,0.5,inf,art.attacks.evasion.ProjectedGradientDescent,
230,rbf,0.20750040178750334,1.0,0.1,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
231,rbf,0.1937978526404857,50.0,0.5,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
232,rbf,0.25632867378938823,50.0,1.0,0.3,1.0,art.attacks.evasion.ProjectedGradientDescent,10.0
233,rbf,0.0254720274810658,100.0,0.01,1.0,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
234,rbf,0.02813944784872755,1.0,0.3,0.001,1.0,art.attacks.evasion.ProjectedGradientDescent,
235,rbf,0.45141258222150427,50.0,0.001,1.0,2.0,art.attacks.evasion.ProjectedGradientDescent,
236,rbf,0.16144308988650588,50.0,0.3,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
237,rbf,-0.0993943194713072,100.0,1.0,0.01,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
238,rbf,0.28596031133610317,50.0,0.01,0.5,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
239,rbf,0.45073798312991853,50.0,0.01,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
240,rbf,0.3980443881711819,100.0,0.5,0.3,2.0,art.attacks.evasion.ProjectedGradientDescent,
241,rbf,0.02529208750864772,50.0,0.001,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,
242,rbf,0.23880716044170272,100.0,0.3,1.0,inf,art.attacks.evasion.ProjectedGradientDescent,1.0
243,rbf,0.33709043253089155,1.0,0.001,0.3,inf,art.attacks.evasion.ProjectedGradientDescent,10.0
244,rbf,0.20631127785804942,100.0,0.1,0.01,2.0,art.attacks.evasion.ProjectedGradientDescent,100.0
245,rbf,0.19733926660926301,100.0,0.1,0.1,inf,art.attacks.evasion.ProjectedGradientDescent,100.0
246,rbf,0.33715801042327315,50.0,0.01,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
247,rbf,0.2866920084159526,50.0,0.1,0.01,1.0,art.attacks.evasion.ProjectedGradientDescent,1.0
